row_index,split,group_id,group_key_sha256,source,target_class,has_efficiency,has_particle_size,has_zeta_potential,has_pdi,has_encapsulation,has_toxicity
18,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
19,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
20,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
21,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
23,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
24,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
25,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
27,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
28,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
29,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
30,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
31,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
33,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
34,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
35,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
38,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
40,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
41,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
42,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
45,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
46,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
47,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
48,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
49,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
50,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
51,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
52,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
53,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
55,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
56,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
57,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
58,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
61,training,G023,4f8f1684c501238b8b8bcbec308f689b6ee2cb9c32e97f5cd93d895cdf091196,LNP_Atlas,liver,False,True,False,False,False,False
62,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
63,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
64,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
66,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
69,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
71,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
72,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
73,training,G043,3b6bca6ee03330339c32916b0a53b570c41a94f66a354c35994c2491b4c12c35,LNP_ML,generic_cell,True,False,False,False,False,False
75,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
77,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
78,training,G031,efda46f30d9e2c8196de5e65ca0fc73215ca7cbccec5e48a4aaf84d76e361465,LNP_ML,generic_cell,True,False,False,False,False,False
79,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
80,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
82,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
83,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
84,training,G056,45e59895219065e084f1f3c102a02b88dfee45730a0411d01cde69d4137c8edf,LNP_ML,generic_cell,True,False,False,False,False,False
85,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
86,training,G050,15fcf9898e3f9da60bfd0d8ef2ef537ddefaf80375661c194c30c907be063903,LNP_ML,liver,True,False,False,False,False,False
87,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
90,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
91,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
93,training,G055,13fd3d5f0d855c9b785cf92a85bb99b31c03082814e366943aebbf7a5c9f90f7,LNP_ML,liver,True,False,False,False,False,False
94,training,G012,c65fa7d063ba812a54de04f73cae0f970fdc43d7949e99e354f97ac0fd5dab42,LNP_Atlas,lung,False,True,False,True,False,False
95,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
97,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
98,training,G043,3b6bca6ee03330339c32916b0a53b570c41a94f66a354c35994c2491b4c12c35,LNP_ML,generic_cell,True,False,False,False,False,False
101,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
102,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
103,training,G019,6e537dbee789cdbd9e616c5cc5775f5f6e21f249afbca4ece299e06ddb2e8d05,LNP_Atlas,liver,False,True,False,True,True,False
104,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
105,training,G015,0f13b18feab73267958fb025ce19f486208fc77ea7b37e3646101edd8cacecf7,LNP_Atlas,other,False,True,True,True,True,False
106,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
107,training,G033,bbc314ddcaecc6c2ec39d635bebc581e1d73f7fcba5f34b05f4ffd48ca6447b6,LNP_ML,liver,True,False,False,False,False,False
108,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
110,training,G056,45e59895219065e084f1f3c102a02b88dfee45730a0411d01cde69d4137c8edf,LNP_ML,generic_cell,True,False,False,False,False,False
111,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
113,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
114,training,G002,6949cf1fb9955f200615229855bc8c022c4d093801cbfdb513ae7c91d26dbda5,LNP_Atlas,spleen,False,True,False,True,True,False
116,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
117,training,G031,efda46f30d9e2c8196de5e65ca0fc73215ca7cbccec5e48a4aaf84d76e361465,LNP_ML,generic_cell,True,False,False,False,False,False
118,training,G036,2820a7fa5b5483f2e947545f345339da833b85904eac56b9f08165d2c401cd40,LNP_ML,muscle,True,False,False,False,False,False
120,training,G031,efda46f30d9e2c8196de5e65ca0fc73215ca7cbccec5e48a4aaf84d76e361465,LNP_ML,generic_cell,True,False,False,False,False,False
121,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
122,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
125,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
126,training,G033,bbc314ddcaecc6c2ec39d635bebc581e1d73f7fcba5f34b05f4ffd48ca6447b6,LNP_ML,liver,True,False,False,False,False,False
127,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
128,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
130,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
132,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
133,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
134,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
135,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
136,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
138,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
140,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
141,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
142,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
143,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
144,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
145,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
148,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
149,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
150,training,G042,c41e09d12aecadc06c33d081fbb35ca577675e07b4370127c6a37bcf7befddb8,LNP_ML,generic_cell,True,False,False,False,False,False
151,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
153,training,G056,45e59895219065e084f1f3c102a02b88dfee45730a0411d01cde69d4137c8edf,LNP_ML,generic_cell,True,False,False,False,False,False
154,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
155,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
156,training,G055,13fd3d5f0d855c9b785cf92a85bb99b31c03082814e366943aebbf7a5c9f90f7,LNP_ML,liver,True,False,False,False,False,False
157,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
158,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
160,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
161,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
162,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
163,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
165,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
166,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
167,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
168,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
169,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
170,training,G043,3b6bca6ee03330339c32916b0a53b570c41a94f66a354c35994c2491b4c12c35,LNP_ML,generic_cell,True,False,False,False,False,False
172,training,G031,efda46f30d9e2c8196de5e65ca0fc73215ca7cbccec5e48a4aaf84d76e361465,LNP_ML,generic_cell,True,False,False,False,False,False
173,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
174,training,G042,c41e09d12aecadc06c33d081fbb35ca577675e07b4370127c6a37bcf7befddb8,LNP_ML,generic_cell,True,False,False,False,False,False
175,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
177,training,G011,7f737e131d2bba59ed2de68348fedd8fa7459a608d07d653d8573ad6ae13da71,LNP_Atlas,other,False,True,True,True,True,False
178,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
179,training,G044,62f44f14ea35ef7328dbb396cbe47c5bbde53cc0d830a132e4dd33dddb134d67,LNP_ML,generic_cell,True,False,False,False,False,False
180,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
181,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
182,training,G050,15fcf9898e3f9da60bfd0d8ef2ef537ddefaf80375661c194c30c907be063903,LNP_ML,liver,True,False,False,False,False,False
183,training,G024,d3e76a6eacd45e385218e48e90c6cabe78a5e1f57022cac3ec1d412663120ba1,LNP_Atlas,other,False,True,False,True,True,False
184,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
185,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
187,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
190,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
191,training,G055,13fd3d5f0d855c9b785cf92a85bb99b31c03082814e366943aebbf7a5c9f90f7,LNP_ML,liver,True,False,False,False,False,False
193,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
194,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
195,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
198,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
199,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
200,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
201,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
202,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
203,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
204,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
205,training,G052,b37b0e39cd4f7d16388d2a38b8c468a6c7007d3e702438806e42dd8707934c2f,LNP_ML,spleen,True,False,False,False,False,False
207,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
208,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
209,training,G012,c65fa7d063ba812a54de04f73cae0f970fdc43d7949e99e354f97ac0fd5dab42,LNP_Atlas,lung,False,True,False,True,False,False
210,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
211,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
212,training,G042,c41e09d12aecadc06c33d081fbb35ca577675e07b4370127c6a37bcf7befddb8,LNP_ML,generic_cell,True,False,False,False,False,False
213,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
215,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
216,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
217,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
218,training,G056,45e59895219065e084f1f3c102a02b88dfee45730a0411d01cde69d4137c8edf,LNP_ML,generic_cell,True,False,False,False,False,False
219,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
221,training,G034,cfad4770845f8e3399267a856d2e480cc26466c7c32a09d96d5a69d7aca15ba1,LNP_ML,spleen,True,False,False,False,False,False
222,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
223,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
224,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
225,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
226,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
227,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
228,training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,LNP_ML,liver,True,False,False,False,False,False
230,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
231,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
232,training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,LNP_ML,lung_epithelium,True,False,False,False,False,False
233,training,G010,3df4ae7f6198d63b0e225972a327e11db073e1abf0f963d31934aad7f1f6145d,LNP_Atlas,liver,False,True,False,True,False,False
234,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
235,training,G028,da90ef346ab3ab03fcbfb9364ddd710703c19b1b769b617cd83dfab1fdcf32a6,LNP_ML,lung_epithelium,True,False,False,False,False,False
236,training,G028,da90ef346ab3ab03fcbfb9364ddd710703c19b1b769b617cd83dfab1fdcf32a6,LNP_ML,lung_epithelium,True,False,False,False,False,False
237,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
238,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
