split,group_id,group_key_sha256,rows,source,efficacy,particle_size,zeta_potential,pdi,encapsulation,toxicity
training,G056,45e59895219065e084f1f3c102a02b88dfee45730a0411d01cde69d4137c8edf,9,LNP_ML,9,0,0,0,0,0
training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,80,LNP_ML,80,0,0,0,0,0
training,G058,666b784581eda04b9934ea7b65d7278b957204c5443623b6dfd2f60fc7978112,2,LNP_ML,2,0,0,0,0,0
validation,G001,2ffa3b2bab15de0355f479f7017f17d12dab0cd5243f5d11e71ca6f58cc3f5af,3,LNP_Atlas,0,3,0,3,3,0
validation,G004,349b446265b4ee9770e137917d1987ed6194be89090118d210ede6e76aade1d1,2,LNP_Atlas,0,1,0,0,2,0
validation,G006,9fd2e9ad175523b8affcf9b4b32ab15b950d726ad23d0df1a9ff36241fbd3a76,1,LNP_Atlas,0,1,0,0,0,0
validation,G007,d610465e504ced51033e08cf303af2a69eb7f05978211116e217d346cbed481d,1,LNP_Atlas,0,1,0,0,0,0
validation,G009,4d93d083912749810ee0f6918466efca58a6febfe34202926fb4308974fd8f41,1,LNP_Atlas,0,1,0,0,0,0
validation,G032,f95c959b4dcc921ffdee4724dd789954b0bf119b9088b0cd54f76df23c9ab7d6,10,LNP_ML,10,0,0,0,0,0
validation,G045,bcd0481e2dbc7db53becf528b1b9c3e6e2e6210aaa499793a7c5bf87e3bd3a17,27,LNP_ML,27,0,0,0,0,0
validation,G047,3c0e8acd4ac262feea0a3672be69601aef65566ccf54f04d38859736f32a7ad7,6,LNP_ML,6,0,0,0,0,0
validation,G049,d966b2c34599e1900502b8e2b7c90a86e90260b84f3845a89ef9c8a78f62d9fd,2,LNP_ML,2,0,0,0,0,0
